film,year_film,decade_film,year_ceremony,oscars_won,adult,backdrop_path,id_tmdb,original_language,original_title,overview,popularity,poster_path,release_date,video,vote_average,vote_count,genres_ids,genres
The Trip to Bountiful,1985,1980,1986,1,FALSE,/iqgZXnNN9Sa6ufvlGuX8MwesE8y.jpg,47908,en,The Trip to Bountiful,"Carrie Watts is living the twilight of her life trapped in an apartment in 1940s Houston, Texas with a controlling daughter-in-law and a hen-pecked son. Her fondest wish – just once before she dies – is to revisit Bountiful, the small Texas town of her youth which she still refers to as ""home.""",1.801,/b92ktkXFciUPZdugRT6u87FbtC6.jpg,1985-12-20,FALSE,7.3,51,18,Drama
The Wizard of the Strings,1985,1980,1986,0,FALSE,NA,244674,en,The Wizard of the Strings,"Profiles Roy Smeck, a former vaudeville star known as ""The Wizard of the Strings"" because of his virtuoso talents on the guitar, banjo, ukelele and Hawaiian guitar, and who is shown to be still active, in his mid-80s, teaching students and giving occasional public performances.",0.141,/mNVKb3eEeIJRtCtgT67FCYWUet7.jpg,1985-01-01,FALSE,4.8,4,NA,NA
Twice in a Lifetime,1985,1980,1986,0,FALSE,/brPMxVY4omak8bE54uSpVQwKbK.jpg,123049,en,Twice in a Lifetime,"A middle-aged steelworker is content with his job and his family, but feels that something is missing in his life. On his 50th birthday, he stops in at a local bar for a drink to celebrate. He finds himself attracted to the young, very sexy barmaid--and, to his surprise, he finds that she is also very attracted to him.",0.812,/8eTJqnvDqfNi3uZsWbtW5PBm694.jpg,1985-10-23,FALSE,5.6,23,18,Drama
Unfinished Business,1985,1980,1986,0,FALSE,NA,149380,en,Unfinished Business,"1985 documentary film about Min Yasui, an attorney from Oregon, Gordon Hirabayashi, a Quaker college student in Washington, and Fred Korematsu, a San Francisco welder and how their lives were affected by Japanese American internment during World War II.",0.106,/gE8ejSPuFIqqmWNiWsQTSnFVHgv.jpg,1985-01-26,FALSE,5.7,3,"99, 10752, 36","Documentary, War, History"
Up,1985,1980,1985,1,FALSE,NA,244655,en,Up,"Up is a 1984 American short film directed by Mike Hoover and Tim Huntley. The film depicts a man who sets a hawk free, then tries to find it in the wild on his hang glider. In 1985, it won an Oscar for Best Short Subject at the 57th Academy Awards.",0.247,/1A82pXCVQyZ9Hh1VteuKchhJr1B.jpg,1985-04-01,FALSE,6.3,7,NA,NA
When Father Was Away on Business,1985,1980,1986,0,FALSE,/7heMAaXlsI3BwTatyxBSNTP3GhO.jpg,21042,sh,Otac na službenom putu,"Tito's break-up with Stalin in 1948 marked the beginning of not only confusing, but also very dangerous years for many hard-core Yugoslav communists. A careless remark about the newspaper cartoon is enough for Mesha to join many arrested unfortunates. His family is now forced to cope with the situation and wait for his release from prison.",3.53,/jhTu6UwP32jPwiBccGAkZq0yqvV.jpg,1985-09-28,FALSE,7.3,126,18,Drama
White Nights,1985,1980,1986,1,FALSE,/nEs4WAMmfsywZWLkJHtKQh3LDpa.jpg,16082,en,White Nights,"After his plane crashes in Siberia, a Russian dancer, who defected to the West, is held prisoner in the Soviet Union. The KGB keeps him under watch and tries to convince him to become a dancer for the Kirov Academy of Ballet again. Determined to escape, he befriends a black American expatriate and his pregnant Russian wife, who agree to help him escape to the American Embassy.",3.53,/ampweVzwwWQHSwFvz2YTyRIrJza.jpg,1985-11-22,FALSE,6.7,132,"18, 53","Drama, Thriller"
Witness,1985,1980,1986,2,FALSE,/o7DFxRyxcjkuTADGjpfCLcRlfsj.jpg,9281,en,Witness,"A sheltered Amish child is the sole witness of a brutal murder in a restroom at a Philadelphia train station, and he must be protected.  The assignment falls to a taciturn detective who goes undercover in a Pennsylvania Dutch community. On the farm, he slowly assimilates despite his urban grit, and forges a romantic bond with the child's beautiful mother.",3.571,/kOymD1rChAMykmDVEzJpIh4OYS7.jpg,1985-02-08,FALSE,7.1,1715,"80, 18, 10749, 53","Crime, Drama, Romance, Thriller"
Witness to War: Dr. Charlie Clements,1985,1980,1986,1,FALSE,NA,244670,en,Witness to War: Dr. Charlie Clements,"Oscar Winning documentary short about Charlie Clements, a Vietnam War pilot who was convinced by his experiences in the war that he should become a doctor working behind enemy lines.",0.212,/cQhQ1Pw0JCoNCVH8ka81K6rJxwh.jpg,1985-04-04,FALSE,4.5,6,NA,NA
Young Sherlock Holmes,1985,1980,1986,0,FALSE,/depMebS7tRuR8ebxghxdkIlnX3s.jpg,11904,en,Young Sherlock Holmes,"Sherlock Holmes and Dr. Watson meet as boys in an English Boarding school. Holmes is known for his deductive ability even as a youth, amazing his classmates with his abilities. When they discover a plot to murder a series of British business men by an Egyptian cult, they move to stop it.",3.53,/aOxVYvQoAfNSns4hW5Ah55GBzgq.jpg,1985-12-04,FALSE,6.733,635,"9648, 12","Mystery, Adventure"
'38',1986,1980,1987,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
'Crocodile' Dundee,1986,1980,1987,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
'Round Midnight,1986,1980,1987,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A Room with a View,1986,1980,1987,3,FALSE,/7BawlYbO8j434ovY0xTHpaNNE0Y.jpg,11257,en,A Room with a View,"When Lucy Honeychurch and chaperon Charlotte Bartlett find themselves in Florence with rooms without views, fellow guests Mr Emerson and son George step in to remedy the situation. Meeting the Emersons could change Lucy's life forever but, once back in England, how will her experiences in Tuscany affect her marriage plans?",3.53,/5xRAqywVo6tNUNQbAESGVP930la.jpg,1986-03-07,FALSE,7,770,"18, 10749","Drama, Romance"
Aliens,1986,1980,1987,2,FALSE,/jMBpJFRtrtIXymer93XLavPwI3P.jpg,679,en,Aliens,"Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426.",4.292,/r1x5JGpyqZU8PYhbs4UcrO1Xb6x.jpg,1986-07-18,FALSE,8,9981,"28, 53, 878","Action, Thriller, Science Fiction"
An American Tail,1986,1980,1987,0,FALSE,/WRgAzhlujb9BRnSj97TZVMIvpz.jpg,4978,en,An American Tail,"A young mouse named Fievel and his family decide to migrate to America, a ""land without cats,"" at the turn of the 20th century. But somehow, Fievel ends up in the New World alone and must fend off not only the felines he never thought he'd have to deal with again but also the loneliness of being away from home.",3.781,/wjhUy9af89vc9CviKcPgTNTrmIq.jpg,1986-11-21,FALSE,6.718,1353,"16, 35, 12, 18, 10751","Animation, Comedy, Adventure, Drama, Family"
Betty Blue,1986,1980,1987,0,FALSE,/hZVBkgxgezyKEkWIbPVLiWAOsrl.jpg,11986,fr,37°2 le matin,A lackadaisical handyman and aspiring novelist tries to support his younger girlfriend as she slowly succumbs to madness.,3.53,/dGkxgj2ozlD4yRtsJL35EUXegFv.jpg,1986-04-09,FALSE,7.2,416,"18, 10749","Drama, Romance"
Blue Velvet,1986,1980,1987,0,FALSE,/12UiL2rS5M80AhS9uiZ633iy4pB.jpg,793,en,Blue Velvet,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",3.586,/7hlgzJXLgyECS1mk3LSN3E72l5N.jpg,1986-09-19,FALSE,7.6,3416,"9648, 53, 80","Mystery, Thriller, Crime"
Children of a Lesser God,1986,1980,1987,1,FALSE,/fiC5azwRjJmrwI59BlVpLqIegU1.jpg,1890,en,Children of a Lesser God,"Starting his new job as an instructor at a New England school for the deaf, James Leeds meets Sarah Norman, a young deaf woman who works at the school as a member of the custodial staff. In spite of Sarah's withdrawn emotional state, a romance slowly develops between the pair.",3.53,/tWMuw7YWWDpD9Iv652vfKELPZPR.jpg,1986-10-03,FALSE,6.9,320,"18, 10749","Drama, Romance"
Chile: Hasta Cuando?,1986,1980,1987,0,FALSE,NA,136519,en,Chile: Hasta Cuando?,A portrait of a brutal Pinochet military dictatorship made during a three month visit to Chile in 1985 by David Bradbury.  The footage reveals a country torn with civil strife and political unrest; military intimidation of the population; indiscriminate arrests: murder torture and disappearances were facts of Chilean life.,0.106,/vwOw6SJoBeSe27Db2QYvOU40z35.jpg,1986-12-31,FALSE,5.7,3,99,Documentary
Crimes of the Heart,1986,1980,1987,0,FALSE,/n7mI520idCPHVsqTljNDNtNiCL9.jpg,48259,en,Crimes of the Heart,Three sisters try to come to grips with the meaning of their mother's suicide.,2.188,/yet0Ww2A7f5qT7MisDuIBSXdV3r.jpg,1986-12-12,FALSE,6.1,62,"35, 18","Comedy, Drama"
Debonair Dancers,1986,1980,1987,0,FALSE,NA,244679,en,Debonair Dancers,"Debonair Dancers is a 1986 short American documentary film produced and directed by Alison Nigh-Strelich, and narrated by Jack Lemmon. It is about The Debonaire Special Dancers of Bakersfield, CA, a group started decades ago by John Soiu and continues today under the direction of Sheri Fortino. The group fosters social and life skills while stimulating creativity and confidence in the special needs students it serves. It was nominated for an Academy Award for Best Documentary Short.",0.106,/3Geu6qe94D3jhCEpAUA1NOW4OD1.jpg,1986-01-01,FALSE,5.7,3,99,Documentary
Down and Out in America,1986,1980,1987,1,FALSE,/1JLfQ8wLB1jD7VvTb20hkKlkRqD.jpg,114522,en,Down and Out in America,"The recession of the 1980s split the country into the haves and have-nots, from family farmers to factory workers and homeless people forced to live in decrepit welfare hotels. On the verge of losing everything, courageous Americans discover the power of community organizing to fight injustice.",0.282,/5iWdjpovH391tfyve80xOsoh5cS.jpg,1986-12-01,FALSE,6.6,8,99,Documentary
Hannah and Her Sisters,1986,1980,1987,3,FALSE,/jx6jUMCLhRWB05ngVjaGxPpLq5x.jpg,5143,en,Hannah and Her Sisters,"Between two Thanksgivings, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",3.53,/gARgIRb2QFRFVrsziwWE389u1pK.jpg,1986-02-07,FALSE,7.5,1060,"35, 18","Comedy, Drama"
Heartbreak Ridge,1986,1980,1987,0,FALSE,/ydF3hT1fjrM71AbNAYBZKnq6rtL.jpg,10015,en,Heartbreak Ridge,"A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",3.53,/aMr99UigkMCTSPnLTpkzJeLmpyc.jpg,1986-12-05,FALSE,6.9,1035,"10752, 18","War, Drama"
Hellfire: A Journey from Hiroshima,1986,1980,1988,0,FALSE,NA,149383,en,Hellfire: A Journey from Hiroshima,"Japanese husband and wife muralists Iri and Toshi Maruki are known for their depictions of the destruction of Hiroshima and Nagasaki. Their collaborative relationship is unique: one paints a painfully detailed vision of the victims of the atomic blast; the other conceals the carefully delineated brush strokes with a grey-black ink “wash.” The first artist restates the specifics of the image; the second re-conceals. Through the repetition of this process, the work emerges.",0.141,/6oAQGxe5tDIuewf1GkFDDRJmMru.jpg,1986-10-10,FALSE,5.5,4,99,Documentary
Hoosiers,1986,1980,1987,0,FALSE,/sz31PrTT4ZyJn2gbzHdxTilt1md.jpg,5693,en,Hoosiers,"Failed college coach Norman Dale gets a chance at redemption when he is hired to coach a high school basketball team in a tiny Indiana town. After a teacher persuades star player Jimmy Chitwood to quit and focus on his long-neglected studies, Dale struggles to develop a winning team in the face of community criticism for his temper and his unconventional choice of assistant coach: Shooter, a notorious alcoholic.",3.532,/dHpjZQXEdoi1xNLubM1rPmTHJYz.jpg,1986-11-14,FALSE,7.1,522,"18, 10751","Drama, Family"
Isaac in America: A Journey with Isaac Bashevis Singer,1986,1980,1987,0,FALSE,NA,132700,en,Isaac in America: A Journey with Isaac Bashevis Singer,Anectdotal portrait of the famed author.,0.141,NA,1986-09-28,FALSE,5.75,4,99,Documentary
Legend,1986,1980,1987,0,FALSE,/3g8rLMw0SbA0h2GHiOCBoqFTXVq.jpg,11976,en,Legend,"Set in a timeless mythical forest inhabited by fairies, goblins, unicorns and mortals, this fantastic story follows a mystical forest dweller, chosen by fate, to undertake a heroic quest. He must save the beautiful Princess  Lili and defeat the demonic Lord of Darkness, or the world will be plunged into a never-ending ice age.",3.532,/6n3PQSYpZRK5YPk2w8JEwED7AZk.jpg,1986-04-18,FALSE,6.2,1244,"12, 14","Adventure, Fantasy"
Little Shop of Horrors,1986,1980,1987,0,FALSE,/5HoEGhJsRgJoPWqCjLaQhhmFPyk.jpg,10776,en,Little Shop of Horrors,"Seymour Krelborn is a nerdy orphan working at Mushnik's; a flower shop in urban Skid Row. He harbors a crush on fellow co-worker, Audrey Fulquard, and is berated by Mr. Mushnik daily. One day, Seymour finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper.",3.861,/iKkbN17OmFosaW6asCNZTTsyvpu.jpg,1986-12-19,FALSE,7,1476,"27, 35","Horror, Comedy"
Love Struck,1986,1980,1987,0,FALSE,NA,244678,en,Love Struck,"Love Struck is a 1986 short film directed by Richard Masur, starring John Simon Jones and Judge Reinhold. In this modern American romance, an awkward, lovable girl goes after her crush. The film was nominated for an Oscar for Best Live Action Short Film.",0.016,/gDi9gCJFFncK2WESV4qWfqZw6d2.jpg,1986-01-01,FALSE,0,0,10749,Romance
Luxo Jr,1986,1980,1987,0,FALSE,/eIYhSbmr8MGpEzWRRKDqojOl7Ha.jpg,13925,en,Luxo Jr.,"A baby lamp finds a ball to play with and it's all fun and games until the ball bursts. Just when the elder Luxo thinks his kid will settle down for a bit, Luxo Jr. finds a ball ten times bigger.",3.567,/as8xF0wOawngZ1G3qg5gs0VQea3.jpg,1986-08-17,FALSE,7.035,623,"16, 35","Animation, Comedy"
Mona Lisa,1986,1980,1987,0,FALSE,/awqquwDxMN9iuOAgDJZSkUO9yf7.jpg,10002,en,Mona Lisa,"George is a small-time crook just out of prison who discovers his tough-guy image is out of date. Reduced to working as a minder/driver for high class call girl Simone, he has to agree when she asks him to find a young colleague from her King's Cross days. That's when George's troubles just start.",3.53,/geBGfbhkgKHld8rM9XuLfzPGZ6I.jpg,1986-06-13,FALSE,6.9,257,"80, 18, 10749, 53","Crime, Drama, Romance, Thriller"
My Beautiful Laundrette,1986,1980,1987,0,FALSE,/nO7raOhTt6QcrYjkb1dL8VaTA3e.jpg,11240,en,My Beautiful Laundrette,"A Pakistani Briton renovates a rundown laundrette with his male lover while dealing with drama within his family, the local Pakistani community, and a persistent mob of skinheads.",3.53,/hfGWxrtbRnxg19ouEYBtQKtMZcN.jpg,1986-03-07,FALSE,6.8,274,"35, 18, 10749","Comedy, Drama, Romance"
Otello,1986,1980,1987,0,FALSE,/izBFdgqNFaSncAQoeB7qGO5HywD.jpg,198469,fr,Otello,"Based on Shakespeare's play, Verdi's opera depicts the devastating effects of jealousy, ""...the green-eyed monster which doth mock the meat it feeds upon"". Believing Otello has promoted the fast-rising Cassio over himself, Iago plots to destroy both Cassio and Otello. Iago convinces the jealous Otello that his beautiful wife Desdemona is unfaithful, and that Cassio is her lover. Jealousy is followed by tragedy, then retribution, ""Has Heaven no more thunderbolts?""",0.318,/emPz3c9jQdH5oJbpSUN7zwXLkin.jpg,1986-12-17,FALSE,5.9,9,"18, 10402","Drama, Music"
Peggy Sue Got Married,1986,1980,1987,0,FALSE,/rR5GhPfulwOHeEbvuom8gwgo2i9.jpg,10013,en,Peggy Sue Got Married,"Peggy Sue faints at a high school reunion. When she wakes up she finds herself in her own past, just before she finished school.",3.541,/tfuQcvQmURiMqB2VPwytU3cPpEm.jpg,1986-10-10,FALSE,6.1,584,"35, 18, 14","Comedy, Drama, Fantasy"
Pirates,1986,1980,1987,0,FALSE,/eu4djO43goqQAMAp4kX6aflvRa.jpg,11483,en,Pirates,The adventures of pirate Captain Red and his first mate Frog.,3.53,/kPHxXi5Dn89TLM7CsbZUC13OBtJ.jpg,1986-07-18,FALSE,6.3,269,"12, 35","Adventure, Comedy"
Platoon,1986,1980,1987,4,FALSE,/wjt1dwtabVm9vujAteDTnXnpHfZ.jpg,792,en,Platoon,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",3.873,/m3mmFkPQKvPZq5exmh0bDuXlD9T.jpg,1986-12-19,FALSE,7.7,4630,"18, 10752, 28","Drama, War, Action"
Poltergeist II: The Other Side,1986,1980,1987,0,FALSE,/bZgwlsf0tO1Pj1e2tZhQQ18fpKF.jpg,11133,en,Poltergeist II: The Other Side,"The Freeling family move in with Diane's mother in an effort to escape the trauma and aftermath of Carol Anne's abduction by the Beast. But the Beast is not to be put off so easily and appears in a ghostly apparition as the Reverend Kane, a religeous zealot responsible for the deaths of his many followers. His goal is simple - he wants the angelic Carol Anne.",3.53,/2r22KqmzWV48kF02GN78NaS3q0m.jpg,1986-05-23,FALSE,6,690,"27, 53","Horror, Thriller"
Precious Images,1986,1980,1987,1,FALSE,NA,147081,en,Precious Images,"A cross-cut of nearly 100 years of American movies. We see the most precious film sequences that we all remember: From Citizen Kane to Star Wars, from Some Like It Hot to E.T. The incredible short cuts of roughly a second each push the audience into a kind of trance and take them on a journey into their individual memories of great films of the 20th century. The film won an Oscar for Best Live Action Short Film.",0.777,/2pDZf4A6U46yuVMvgO4egnkUNNa.jpg,1986-12-31,FALSE,7.3,22,99,Documentary
Red Grooms: Sunflower in a Hothouse,1986,1980,1987,0,FALSE,NA,244681,en,Red Grooms: Sunflower in a Hothouse,NA,0.001,/g6YbCsAahcsSOOGNK3mKJqckJsf.jpg,1986-01-01,FALSE,0,0,NA,NA
Salvador,1986,1980,1987,0,FALSE,/6DSXD0cSOOQJd9YX7KUekv6bKLr.jpg,6106,en,Salvador,"In 1980, an American journalist covering the Salvadoran Civil War becomes entangled with both the leftist guerrilla groups and the right-wing military dictatorship while trying to rescue his girlfriend and her children.",3.53,/c5JgUmzN7syTFy9suwoHF3vhNsN.jpg,1986-04-23,FALSE,7,360,"18, 53, 10752","Drama, Thriller, War"
Sam,1986,1980,1987,0,FALSE,NA,244683,en,Sam,"Sam is a 1986 American short documentary film directed by Aaron D. Weisblatt. It focuses on Sam Phelps, a New York State farmer who is opposed to the destruction of a nearby watershed, and argues for better planning and land management. The film was nominated for an Academy Award for Best Documentary Short.",0.071,/viNgR7CazQ4wSvmoARVia2gLkxp.jpg,1986-01-01,FALSE,5,2,99,Documentary
Stand by Me,1986,1980,1987,0,FALSE,/yjGllQUm28R4X9xD9T5xMszirgw.jpg,235,en,Stand by Me,"After learning that a boy their age has been accidentally killed near their rural homes, four Oregon boys decide to go see the body. On the way, Gordie,  Vern, Chris and Teddy encounter a mean junk man and a marsh full of leeches, as they also learn more about one another and their very different home lives. Just a lark at first, the boys' adventure evolves into a defining event in their lives.",3.684,/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg,1986-08-08,FALSE,7.9,5996,"80, 18","Crime, Drama"
Star Trek IV: The Voyage Home,1986,1980,1987,0,FALSE,/wN3dgwkiWSLrMVukPQIeccv5EJ6.jpg,168,en,Star Trek IV: The Voyage Home,"When a huge alien probe enters the galaxy and begins to vaporize Earth's oceans, Kirk and his crew must travel back in time in order to bring back whales and save the planet.",3.536,/xY5TzGXJOB3L9rhZ1MbbPyVlW5J.jpg,1986-11-26,FALSE,7.1,1497,"878, 12","Science Fiction, Adventure"
That's Life,1986,1980,1987,0,FALSE,/3srkEkBA2o2eLrg392Zw8ic8vt0.jpg,52961,en,That's Life!,A wealthy architect struggles with a severe case of male menopause at the approach of his 60th birthday.,0.883,/opZSLqdoRoAIg6oW99iiNmrSgAp.jpg,1986-10-10,FALSE,5.6,25,"35, 18","Comedy, Drama"
The Clan of the Cave Bear,1986,1980,1987,0,FALSE,/vx8lWctKheIN0KV85lHmcPTY9wo.jpg,13853,en,The Clan of the Cave Bear,"Natural changes have the clans moving. Iza, medicine woman of the ""Clan of the Cave Bear"" finds little Ayla from the ""others""' clan - tradition would have the clan kill Ayla immediately, but Iza insists on keeping her. When the little one finds a most needed new cave, she's allowed to stay - and thrive.",3.53,/jbftdduVujKeoib5fwDBbEMamdj.jpg,1986-01-17,FALSE,5.2,116,"12, 18","Adventure, Drama"
The Color of Money,1986,1980,1987,1,FALSE,/hhCp6ZLDjS5wUHkGg7k3VGvH3Xm.jpg,11873,en,The Color of Money,"Former pool hustler ""Fast Eddie"" Felson decides he wants to return to the game by taking a pupil. He meets talented but green Vincent Lauria and proposes a partnership. As they tour pool halls, Eddie teaches Vincent the tricks of scamming, but he eventually grows frustrated with Vincent's showboat antics, leading to an argument and a falling-out. Eddie takes up playing again and soon crosses paths with Vincent as an opponent.",3.537,/dVdnHmdQu3JtLAAksjTmTEF76gD.jpg,1986-10-17,FALSE,6.9,1388,18,Drama
The Decline of the American Empire,1986,1980,1987,0,FALSE,/yItBvynVmSCTvAkzAm5PllP4oth.jpg,18499,fr,Le Déclin de l'empire américain,"Four very different Montreal university teachers gather at a rambling country house to prepare a dinner. Remy (married), Claude (a homosexual), Pierre (involved with a girlfriend) and Alain (a bachelor) discuss sex, the female body and their affairs with them. Meanwhile, their four female guests, Louise (Remy's wife of 15 years), Dominique (a spinster), Diane (a divorcée) and Danielle (Pierre's girlfriend) are spending the time at a downtown health gym. They also discuss sex, the female body and, naturally, men. Later in the evening, they finally meet at the country house and have dinner. A ninth guest, named Mario, who used to know Diane, drops in on the group for some talk and has a surprise of his own.",3.53,/j5Bi5lr7Z2tr9fEJI0YuS0AS2iG.jpg,1986-06-19,FALSE,6.8,153,"35, 18","Comedy, Drama"
The Fly,1986,1980,1987,1,FALSE,/2olgnm402FuL7kQHUQwyRSj0SmD.jpg,9426,en,The Fly,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.",4.045,/8gZWMhJHRvaXdXsNhERtqNHYpH3.jpg,1986-08-15,FALSE,7.4,4526,"27, 878","Horror, Science Fiction"
"The Frog, the Dog and the Devil",1986,1980,1987,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Karate Kid Part II,1986,1980,1987,0,FALSE,/7rfcRXbFD0xr8NteNq1hwXUd4Af.jpg,8856,en,The Karate Kid Part II,"Summoned by his dying father, Miyagi returns to his homeland of Okinawa, with Daniel, after a 40-year exile. There he must confront Yukie, the love of his youth, and Sato, his former best friend turned vengeful rival. Sato is bent on a fight to the death, even if it means the destruction of their village. Daniel finds his own love in Yukia's niece, Kumiko, and his own enemy in Sato's nephew, the vicious Chozen. Now, far away from the tournaments, cheering crowds and safety of home, Daniel will face his greatest challenge ever when the cost of honor is life itself.",3.715,/k0OwgRR6PNu7h3SiqpCbRdZWNaG.jpg,1986-06-18,FALSE,6.3,2239,"12, 18, 28, 10749, 10751","Adventure, Drama, Action, Romance, Family"
The Masters of Disaster,1986,1980,1987,0,FALSE,NA,244680,en,The Masters of Disaster,"Documentary about an unlikely youth chess team from Indianapolis who went on surprise the chess world with their success. The team, made up of young African Americans with no previous experience and led by their devoted teacher, went on to win the United States elementary school chess championship.",0.106,/ax1suNvHBEgM5jlojozDCoA49HE.jpg,1986-01-01,FALSE,6.3,3,99,Documentary
The Mission,1986,1980,1987,1,FALSE,/izgDdMvuRvTtA2azhKwPvfITZU1.jpg,11416,en,The Mission,"When a Spanish Jesuit goes into the South American wilderness to build a mission in the hope of converting the Indians of the region, a slave hunter is converted and joins his mission. When Spain sells the colony to Portugal, they are forced to defend all they have built against the Portuguese aggressors.",3.532,/6K9cG6LOOtySZF4D4xBu1MApC1N.jpg,1986-09-29,FALSE,7.4,1421,"12, 18, 28, 36","Adventure, Drama, Action, History"
The Morning After,1986,1980,1987,0,FALSE,/zC9SVUUQ2RNWplLoeeXByyJDY1U.jpg,31924,en,The Morning After,"Failed actress Alex Sternbergen wakes up hungover one morning in an apartment she does not recognize, unable to remember the previous evening -- and with a dead body in bed next to her. As she tries to piece together the events of the night, Alex cannot totally rely on friends or her estranged husband, Joaquin, for assistance. Only a single ally, loner ex-policeman Turner Kendall, can help her escape her predicament and find the true killer.",3.78,/kxuR1RpAUWRHKzCwbjg2bw6RTGI.jpg,1986-12-25,FALSE,5.894,116,"53, 9648, 10749, 80","Thriller, Mystery, Romance, Crime"
Three Men and a Cradle,1986,1980,1986,0,FALSE,/21i0STBZUzhdNqJ2SpiBFpUGWZw.jpg,4180,fr,3 Hommes et un couffin,"Three young men - Jacques, Pierre, and Michel - share an apartment in Paris, and have many girlfriends and parties. Once, during a party, a friend of Jacques' tells him he has a quite compromising package to deliver, and asks him if he can leave it discreetly at their place. Jacques agrees and, as he works as a steward, flies away for a one-month trip in Japan, telling Pierre and Michel about the package. Then, one of Jacques' former girlfriends drops a baby before their door, making Pierre and Michel believing it is the package they are waiting for. Their lives are then completely changed.",3.824,/3TfJL5jbyWFUOe1NB81iI8w7Gct.jpg,1986-04-25,FALSE,6.325,265,35,Comedy
Top Gun,1986,1980,1987,1,FALSE,/jILeJ60zPpIjjJHGSmIeY4eO30t.jpg,744,en,Top Gun,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",4.743,/xUuHj3CgmZQ9P2cMaqQs4J0d4Zc.jpg,1986-05-16,FALSE,7.056,8791,"28, 18","Action, Drama"
Witness to Apartheid,1986,1980,1987,0,FALSE,NA,136655,en,Witness to Apartheid,An introduction to apartheid and the contextualization of the history of the changing nature of state repression would provide a good foundation from which to view the film. It should also be explained that state repression in 1985 occurred as a response to increasingly successful organized.,0.001,NA,1986-04-16,FALSE,0,0,99,Documentary
"Women--for America, for the World",1986,1980,1987,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A Stitch for Time,1987,1980,1988,0,FALSE,NA,149387,en,A Stitch for Time,"In a moving cinema verite style, A Stitch for Time presents the idea that ordinary people can become diplomats working toward the goal of world peace. Interviews with the Boise, Idaho women who made the quilt establish the background for the project and reveal that though some are longtime activists, others have never been politically involved, but all are united by their need to ensure a safe world for their children and society.",0.071,NA,1987-01-01,FALSE,5,2,99,Documentary
Anna,1987,1980,1988,0,FALSE,/kZF8BPf4GvmxBDQgYPwV9R48xmc.jpg,107285,en,Anna,"Czech refugee Krystyna travels to New York in search of her actress idol and fellow expatriate, Anna. After her own arrival in the Big Apple, Anna finds that celebrity often doesn't travel well, and she must go through a battery of humiliating auditions to try and get work in her adopted land. But when Krystyna and Anna finally meet, they provide a support structure for each other.",0.424,/6CJaiXo2DlX8mEVSwO7PsKpksqQ.jpg,1987-11-28,FALSE,5.6,12,18,Drama
"Au Revoir Les Enfants (Goodbye, Children)",1987,1980,1988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beverly Hills Cop II,1987,1980,1988,0,FALSE,/bIA65PCRtIQfBvIoKohJbtOPl3M.jpg,96,en,Beverly Hills Cop II,"Axel Foley returns to the land of sunshine and palm trees to investigate the near-fatal shooting of police Captain Andrew Bogomil. With the help of Sgt. Taggart and Det. Rosewood, they soon uncover that the shooting is associated with a series of ""alphabet"" robberies masterminded by a heartless weapons kingpin—and the chase is on.",4.087,/egDakU8O5yUwpUJP9IMAUVtIDll.jpg,1987-05-18,FALSE,6.5,2588,"28, 35, 80","Action, Comedy, Crime"
Broadcast News,1987,1980,1988,0,FALSE,/mRtwZCRIIRni9CkpNvQgYSe8F3V.jpg,12626,en,Broadcast News,"Basket-case network news producer Jane Craig falls for new reporter Tom Grunnick, a pretty boy who represents the trend towards entertainment news she despises. Aaron Altman, a talented but plain correspondent, carries an unrequited torch for Jane. Sparks fly between the three as the network prepares for big changes, and both the news and Jane must decide between style and substance.",3.531,/kQNR1Lc0qAF5xuBySpDn481KVjb.jpg,1987-12-16,FALSE,6.7,414,"35, 10749","Comedy, Romance"
